Tgl. Mohon,count,cumulative_sum
2023-03-21,6,2641
2023-03-23,8,2649
2023-03-24,7,2656
2023-03-25,8,2664
2023-03-27,4,2668
2023-03-28,4,2672
2023-03-29,11,2683
2023-03-30,5,2688
2023-03-31,14,2702
2023-04-01,1,2703
2023-04-03,4,2707
2023-04-04,5,2712
2023-04-05,6,2718
2023-04-06,4,2722
2023-04-08,4,2726
2023-04-10,3,2729
2023-04-11,5,2734
2023-04-12,8,2742
2023-04-13,12,2754
2023-04-14,4,2758
2023-04-15,3,2761
2023-04-17,10,2771
2023-04-18,10,2781
2023-04-19,12,2793
2023-04-20,10,2803
2023-04-21,6,2809
2023-04-25,1,2810
2023-04-26,2,2812
2023-04-27,2,2814
2023-04-28,6,2820
2023-04-29,5,2825
2023-04-30,14,2839
2023-05-02,7,2846
2023-05-03,1,2847
2023-05-04,8,2855
2023-05-05,3,2858
2023-05-06,9,2867
2023-05-07,2,2869
2023-05-08,8,2877
2023-05-09,9,2886
2023-05-10,6,2892
2023-05-11,3,2895
2023-05-12,7,2902
2023-05-13,5,2907
2023-05-15,6,2913
2023-05-16,5,2918
2023-05-17,10,2928
2023-05-18,5,2933
2023-05-19,3,2936
2023-05-20,4,2940
2023-05-21,1,2941
2023-05-22,5,2946
2023-05-23,8,2954
2023-05-24,5,2959
2023-05-25,9,2968
2023-05-26,4,2972
2023-05-27,4,2976
2023-05-28,1,2977
2023-05-29,2,2979
2023-05-30,6,2985
2023-05-31,28,3013
2023-06-02,7,3020
2023-06-03,5,3025
2023-06-05,6,3031
2023-06-06,6,3037
2023-06-07,5,3042
2023-06-08,8,3050
2023-06-09,8,3058
2023-06-10,8,3066
2023-06-12,13,3079
2023-06-13,8,3087
2023-06-14,3,3090
2023-06-15,6,3096
2023-06-16,6,3102
2023-06-17,4,3106
2023-06-19,8,3114
2023-06-20,7,3121
2023-06-21,10,3131
2023-06-22,3,3134
2023-06-23,2,3136
2023-06-24,7,3143
2023-06-25,2,3145
2023-06-26,7,3152
2023-06-27,7,3159
2023-06-28,7,3166
2023-06-29,2,3168
2023-06-30,16,3184
2023-07-01,5,3189
2023-07-03,3,3192
2023-07-04,1,3193
2023-07-05,5,3198
2023-07-06,8,3206
2023-07-07,8,3214
2023-07-08,7,3221
2023-07-10,11,3232
2023-07-11,10,3242
2023-07-12,10,3252
2023-07-13,9,3261
2023-07-14,9,3270
2023-07-15,11,3281
2023-07-16,3,3284
2023-07-17,9,3293
2023-07-18,8,3301
2023-07-20,4,3305
2023-07-21,3,3308
2023-07-22,13,3321
2023-07-23,5,3326
2023-07-24,8,3334
2023-07-25,8,3342
2023-07-26,2,3344
2023-07-27,9,3353
2023-07-28,4,3357
2023-07-29,7,3364
2023-07-30,2,3366
2023-07-31,13,3379
2023-08-01,2,3381
2023-08-02,6,3387
2023-08-03,6,3393
2023-08-04,2,3395
2023-08-05,7,3402
2023-08-07,6,3408
2023-08-08,11,3419
2023-08-09,9,3428
2023-08-10,9,3437
2023-08-11,8,3445
2023-08-12,9,3454
2023-08-13,3,3457
2023-08-14,2,3459
2023-08-15,5,3464
2023-08-16,7,3471
2023-08-18,8,3479
2023-08-19,5,3484
2023-08-21,7,3491
2023-08-22,5,3496
2023-08-23,2,3498
2023-08-24,2,3500
2023-08-25,4,3504
2023-08-26,8,3512
2023-08-28,3,3515
2023-08-29,3,3518
2023-08-30,5,3523
2023-08-31,10,3533
2023-09-02,7,3540
2023-09-04,7,3547
2023-09-05,9,3556
2023-09-06,6,3562
2023-09-07,7,3569
2023-09-08,6,3575
2023-09-09,7,3582
2023-09-10,1,3583
2023-09-11,6,3589
2023-09-12,6,3595
2023-09-13,4,3599
2023-09-14,3,3602
2023-09-15,4,3606
2023-09-16,5,3611
2023-09-18,8,3619
2023-09-19,4,3623
2023-09-20,2,3625
2023-09-21,5,3630
2023-09-22,3,3633
2023-09-23,5,3638
2023-09-25,5,3643
2023-09-26,4,3647
2023-09-27,7,3654
2023-09-28,1,3655
2023-09-29,5,3660
2023-09-30,9,3669
2023-10-02,2,3671
2023-10-03,3,3674
2023-10-04,5,3679
2023-10-05,2,3681
2023-10-06,4,3685
2023-10-07,7,3692
2023-10-09,2,3694
2023-10-10,3,3697
2023-10-11,6,3703
2023-10-12,5,3708
2023-10-13,5,3713
2023-10-14,5,3718
2023-10-16,4,3722
2023-10-17,7,3729
2023-10-18,3,3732
2023-10-19,4,3736
2023-10-20,3,3739
2023-10-21,3,3742
2023-10-23,6,3748
2023-10-24,5,3753
2023-10-25,4,3757
2023-10-26,5,3762
2023-10-27,4,3766
2023-10-28,4,3770
2023-10-30,7,3777
2023-10-31,9,3786
2023-11-01,2,3788
2023-11-02,5,3793
2023-11-03,2,3795
2023-11-04,7,3802
2023-11-06,4,3806
2023-11-07,5,3811
2023-11-08,5,3816
2023-11-09,10,3826
2023-11-10,4,3830
2023-11-11,9,3839
2023-11-13,5,3844
2023-11-14,5,3849
2023-11-15,4,3853
2023-11-16,11,3864
2023-11-17,9,3873
2023-11-18,6,3879
2023-11-20,7,3886
2023-11-21,5,3891
2023-11-22,2,3893
2023-11-23,2,3895
2023-11-24,5,3900
2023-11-25,3,3903
2023-11-27,5,3908
2023-11-28,3,3911
2023-11-29,4,3915
2023-11-30,9,3924
2023-12-04,12,3936
2023-12-05,2,3938
2023-12-06,7,3945
2023-12-07,2,3947
2023-12-08,4,3951
2023-12-09,6,3957
2023-12-11,5,3962
2023-12-12,5,3967
2023-12-13,5,3972
2023-12-14,7,3979
2023-12-15,4,3983
2023-12-16,3,3986
2023-12-18,9,3995
2023-12-19,2,3997
2023-12-20,5,4002
2023-12-21,4,4006
2023-12-22,6,4012
2023-12-23,9,4021
2023-12-24,3,4024
2023-12-25,2,4026
2023-12-26,6,4032
2023-12-27,8,4040
2023-12-28,4,4044
2023-12-29,4,4048
2023-12-30,2,4050
2023-12-31,8,4058
2024-01-03,9,4067
2024-01-04,5,4072
2024-01-05,5,4077
2024-01-06,6,4083
2024-01-08,9,4092
2024-01-09,4,4096
2024-01-10,3,4099
2024-01-11,6,4105
2024-01-12,8,4113
2024-01-13,6,4119
2024-01-15,9,4128
2024-01-16,9,4137
2024-01-17,5,4142
2024-01-18,5,4147
2024-01-19,3,4150
2024-01-20,6,4156
2024-01-22,6,4162
2024-01-23,9,4171
2024-01-24,6,4177
2024-01-25,4,4181
2024-01-26,6,4187
2024-01-27,5,4192
2024-01-29,7,4199
2024-01-30,4,4203
2024-01-31,11,4214
2024-02-01,2,4216
2024-02-02,5,4221
2024-02-03,4,4225
2024-02-05,7,4232
2024-02-06,10,4242
2024-02-07,5,4247
2024-02-08,2,4249
2024-02-09,5,4254
2024-02-10,3,4257
2024-02-12,11,4268
2024-02-13,6,4274
2024-02-15,5,4279
2024-02-16,5,4284
2024-02-17,8,4292
2024-02-19,4,4296
2024-02-20,3,4299
2024-02-21,6,4305
2024-02-22,8,4313
2024-02-23,7,4320
2024-02-24,11,4331
2024-02-26,4,4335
2024-02-27,2,4337
2024-02-28,7,4344
2024-02-29,6,4350
2024-03-02,8,4358
2024-03-04,8,4366
2024-03-05,10,4376
2024-03-06,6,4382
2024-03-07,4,4386
2024-03-08,6,4392
2024-03-09,3,4395
2024-03-12,8,4403
2024-03-13,4,4407
2024-03-14,17,4424
2024-03-15,5,4429
2024-03-16,4,4433
2024-03-18,4,4437
2024-03-19,4,4441
2024-03-20,7,4448
2024-03-21,6,4454
2024-03-22,4,4458
2024-03-23,5,4463
2024-03-25,4,4467
2024-03-26,8,4475
2024-03-27,8,4483
2024-03-28,10,4493
