Year,Week,Total Sales,Kelurahan,Kecamatan,Gender,Pekerjaan,Pengeluaran,Pendidikan,Tipe Pembeli,Umur,0,1,2,3,4,5
2023,8,57,93.40350877192982,5.824561403508772,0.49122807017543857,11.263157894736842,3.6140350877192984,3.807017543859649,0.017543859649122806,39.92982456140351,1,1,0,0,48,7
2023,9,52,108.5576923076923,6.346153846153846,0.5,10.442307692307692,3.25,3.7884615384615383,0.019230769230769232,37.86538461538461,3,6,0,0,37,6
2023,10,40,104.0,9.225,0.375,9.4,3.55,3.5,0.025,35.95,2,0,0,2,32,4
2023,11,55,122.74545454545455,5.672727272727273,0.6,9.872727272727273,4.127272727272727,4.109090909090909,0.10909090909090909,34.0,9,1,1,0,39,5
2023,12,44,126.06818181818181,7.25,0.4318181818181818,8.613636363636363,3.340909090909091,3.409090909090909,0.0,37.06818181818182,2,2,2,2,32,4
2023,13,46,118.78260869565217,8.673913043478262,0.43478260869565216,10.543478260869565,3.152173913043478,3.630434782608696,0.021739130434782608,37.06521739130435,1,1,1,1,39,3
2023,14,28,119.07142857142857,6.035714285714286,0.42857142857142855,11.571428571428571,2.75,3.607142857142857,0.0,37.67857142857143,3,0,1,0,23,1
2023,15,40,110.5,6.825,0.7,8.975,3.35,3.775,0.0,37.125,0,1,0,1,35,3
2023,16,55,89.87272727272727,5.745454545454545,0.45454545454545453,10.181818181818182,3.581818181818182,3.8363636363636364,0.0,37.90909090909091,0,1,0,1,48,5
2023,17,35,125.02857142857142,8.228571428571428,0.5428571428571428,8.742857142857142,2.8285714285714287,3.6857142857142855,0.0,35.457142857142856,1,0,0,0,30,4
2023,18,38,96.44736842105263,5.473684210526316,0.4473684210526316,10.631578947368421,2.6578947368421053,3.5789473684210527,0.0,37.13157894736842,2,2,0,0,30,4
2023,19,47,101.57446808510639,5.0212765957446805,0.5106382978723404,10.361702127659575,2.978723404255319,3.702127659574468,0.0,38.829787234042556,0,4,0,2,38,3
2023,20,39,95.94871794871794,5.076923076923077,0.48717948717948717,9.333333333333334,2.8974358974358974,3.948717948717949,0.02564102564102564,38.51282051282051,0,1,0,1,34,3
2023,21,42,105.78571428571429,6.857142857142857,0.5238095238095238,10.071428571428571,3.4285714285714284,3.8333333333333335,0.023809523809523808,35.80952380952381,0,1,1,2,36,2
2023,22,54,104.55555555555556,7.944444444444445,0.6481481481481481,11.314814814814815,3.2777777777777777,4.296296296296297,0.12962962962962962,35.46296296296296,3,1,0,0,48,2
2023,23,58,86.05172413793103,15.637931034482758,0.8620689655172413,13.741379310344827,3.8793103448275863,4.620689655172414,0.2413793103448276,32.258620689655174,12,0,2,0,41,3
2023,24,51,107.3921568627451,7.823529411764706,0.27450980392156865,9.686274509803921,3.2549019607843137,3.2745098039215685,0.0,36.627450980392155,5,1,0,1,40,4
2023,25,52,94.42307692307692,6.019230769230769,0.5769230769230769,10.057692307692308,3.769230769230769,3.8461538461538463,0.07692307692307693,36.32692307692308,3,3,0,0,39,7
2023,26,53,122.41509433962264,7.188679245283019,0.4528301886792453,9.679245283018869,3.2264150943396226,3.7358490566037736,0.018867924528301886,38.490566037735846,2,2,0,1,44,4
2023,27,36,120.02777777777777,7.222222222222222,0.5833333333333334,9.444444444444445,3.1666666666666665,3.888888888888889,0.027777777777777776,36.361111111111114,0,1,0,0,32,3
2023,28,69,113.57971014492753,6.188405797101449,0.6086956521739131,9.956521739130435,3.681159420289855,4.043478260869565,0.08695652173913043,38.81159420289855,3,0,1,0,63,2
2023,29,68,87.36764705882354,18.558823529411764,1.0441176470588236,14.558823529411764,4.485294117647059,4.838235294117647,0.35294117647058826,37.64705882352941,23,0,0,1,42,2
2023,30,63,89.38095238095238,16.904761904761905,1.0317460317460319,13.603174603174603,4.222222222222222,4.984126984126984,0.3333333333333333,30.41269841269841,20,0,0,0,40,3
2023,31,40,105.55,4.225,0.6,10.475,3.375,4.175,0.1,38.775,0,1,1,1,36,1
2023,32,65,114.18461538461538,4.707692307692308,0.5230769230769231,6.984615384615385,3.1538461538461537,3.7846153846153845,0.0,37.44615384615385,0,1,0,0,55,9
