"(p,q,P,Q)",AIC
"(3, 3, 0, 0)",4997.199987021797
"(2, 3, 0, 0)",5051.43991036389
"(1, 2, 0, 0)",5122.245162265122
"(2, 2, 0, 0)",5130.771248593824
"(0, 0, 0, 0)",5170.061434849067
"(2, 0, 0, 0)",5170.814477258992
"(0, 2, 0, 0)",5170.818229515945
"(1, 1, 0, 0)",5171.093333418214
"(1, 0, 0, 0)",5171.326234338912
"(0, 1, 0, 0)",5171.398881744504
"(2, 1, 0, 0)",5171.746171639564
"(0, 3, 0, 0)",5172.512053573711
"(3, 0, 0, 0)",5172.735433826003
"(1, 3, 0, 0)",5174.488719889174
"(3, 1, 0, 0)",5174.7369673674375
"(3, 2, 0, 0)",5175.6450489822455
