Tgl. Mohon,count,cumulative_sum,delta_count,rolling_7days
2021-07-22,0.0,0.17647058823529413,0.5438596491228069,0.08620689655172413
2021-08-10,0.03225806451612903,0.1830065359477124,0.5614035087719298,0.10344827586206896
2021-08-11,0.8709677419354839,0.27450980392156865,0.9999999999999999,0.5689655172413793
2021-08-14,0.03225806451612903,0.281045751633987,0.08771929824561397,0.5862068965517242
2021-08-18,0.0,0.2843137254901961,0.5263157894736841,0.5862068965517242
2021-08-25,0.0,0.28758169934640526,0.5438596491228069,0.5862068965517242
2021-08-27,0.0,0.2908496732026144,0.5438596491228069,0.5862068965517242
2021-08-28,0.0,0.29411764705882354,0.5438596491228069,0.5862068965517242
2021-08-30,0.0,0.29738562091503273,0.5438596491228069,0.5689655172413793
2021-09-08,0.03225806451612903,0.303921568627451,0.5614035087719298,0.1206896551724138
2021-09-14,0.0,0.30718954248366015,0.5263157894736841,0.10344827586206896
2021-09-21,0.0,0.3104575163398693,0.5438596491228069,0.10344827586206896
2021-10-05,0.0,0.3137254901960785,0.5438596491228069,0.10344827586206896
2021-10-07,0.0,0.3169934640522876,0.5438596491228069,0.10344827586206896
2021-10-09,0.03225806451612903,0.3235294117647059,0.5614035087719298,0.1206896551724138
2021-10-25,0.0,0.3267973856209151,0.5263157894736841,0.1206896551724138
2021-10-26,0.0,0.33006535947712423,0.5438596491228069,0.10344827586206896
2021-11-17,0.03225806451612903,0.3366013071895425,0.5614035087719298,0.1206896551724138
2021-11-24,0.0,0.33986928104575165,0.5263157894736841,0.1206896551724138
2021-11-26,0.0,0.34313725490196084,0.5438596491228069,0.1206896551724138
2021-11-30,0.03225806451612903,0.3496732026143791,0.5614035087719298,0.13793103448275862
2021-12-17,0.0,0.35294117647058826,0.5263157894736841,0.1206896551724138
2021-12-23,0.0,0.3562091503267974,0.5438596491228069,0.1206896551724138
2022-01-05,0.0,0.3594771241830066,0.5438596491228069,0.1206896551724138
2022-01-06,0.0967741935483871,0.37254901960784315,0.5964912280701753,0.15517241379310343
2022-01-10,0.0,0.37581699346405234,0.4912280701754385,0.15517241379310343
2022-02-16,0.0,0.3790849673202615,0.5438596491228069,0.15517241379310343
2022-02-18,0.16129032258064516,0.39869281045751637,0.631578947368421,0.22413793103448276
2022-02-25,0.0,0.4019607843137255,0.4561403508771929,0.22413793103448276
2022-02-27,0.0,0.4052287581699347,0.5438596491228069,0.22413793103448276
2022-03-07,0.0,0.40849673202614384,0.5438596491228069,0.22413793103448276
2022-03-10,0.0,0.411764705882353,0.5438596491228069,0.1724137931034483
2022-03-12,0.0,0.4150326797385621,0.5438596491228069,0.1724137931034483
2022-03-14,0.0,0.41830065359477125,0.5438596491228069,0.1724137931034483
2022-03-16,0.0,0.42156862745098045,0.5438596491228069,0.08620689655172413
2022-03-24,0.0,0.4248366013071896,0.5438596491228069,0.08620689655172413
2022-04-11,0.12903225806451613,0.44117647058823534,0.6140350877192982,0.15517241379310343
2022-04-20,0.0,0.4444444444444445,0.4736842105263157,0.15517241379310343
2022-04-30,0.03225806451612903,0.4509803921568628,0.5614035087719298,0.1724137931034483
2022-05-18,0.0,0.45424836601307195,0.5263157894736841,0.1724137931034483
2022-05-25,0.0,0.4575163398692811,0.5438596491228069,0.1724137931034483
2022-08-31,0.22580645161290322,0.4836601307189543,0.6666666666666665,0.29310344827586204
2022-09-03,0.0,0.48692810457516345,0.4210526315789473,0.29310344827586204
2022-09-15,0.0,0.4901960784313726,0.5438596491228069,0.22413793103448276
2022-09-16,0.0,0.4934640522875817,0.5438596491228069,0.22413793103448276
2022-09-27,0.0,0.49673202614379086,0.5438596491228069,0.2068965517241379
2022-09-28,0.3548387096774194,0.5359477124183007,0.7368421052631577,0.396551724137931
2022-09-29,0.32258064516129037,0.5718954248366014,0.5263157894736841,0.5689655172413793
2022-09-30,1.0,0.6764705882352942,0.9122807017543859,0.9827586206896551
2022-10-07,0.0,0.6797385620915033,0.0,0.9827586206896551
2022-10-17,0.0,0.6830065359477124,0.5438596491228069,0.9827586206896551
2022-10-21,0.0,0.6862745098039216,0.5438596491228069,0.9827586206896551
2022-10-31,0.03225806451612903,0.69281045751634,0.5614035087719298,1.0
2022-11-11,0.0,0.6960784313725491,0.5263157894736841,0.810344827586207
2022-11-12,0.0,0.6993464052287582,0.5438596491228069,0.6379310344827587
2022-11-14,0.0,0.7026143790849674,0.5438596491228069,0.10344827586206896
