"(p,q,P,Q)",AIC
"(3, 0, 1, 3)",628.9689806542181
"(3, 0, 2, 0)",633.0022291814294
"(3, 0, 3, 0)",633.3714262820586
"(2, 0, 2, 3)",636.4759770352698
"(2, 0, 3, 2)",636.5385919238029
"(2, 0, 1, 1)",636.7710494832102
"(2, 0, 0, 3)",637.3034959055367
"(2, 0, 0, 2)",637.3150167748706
"(2, 0, 0, 1)",637.5117342306994
"(2, 0, 3, 3)",637.6570728859891
"(2, 0, 2, 1)",637.9257322575347
"(2, 0, 3, 1)",638.21875112501
"(2, 0, 1, 2)",638.550676188843
"(2, 0, 2, 2)",638.7942014593161
"(2, 0, 1, 3)",640.544420354663
"(2, 0, 2, 0)",646.4727500413226
"(2, 0, 3, 0)",646.6252515122123
"(1, 0, 3, 2)",652.5139332496275
"(1, 0, 2, 3)",653.1626194322758
"(1, 0, 2, 2)",654.4166168486646
"(1, 0, 1, 1)",654.4286558149648
"(1, 0, 3, 3)",654.4423329524977
"(1, 0, 3, 1)",654.5661570730032
"(1, 0, 0, 2)",654.8525182615278
"(1, 0, 0, 3)",655.448166068262
"(1, 0, 0, 1)",655.8265383524326
"(3, 0, 1, 0)",655.9854644426059
"(1, 0, 2, 1)",656.3996713853946
"(1, 0, 1, 2)",656.423163905392
"(1, 0, 1, 3)",657.2780670730058
"(1, 0, 2, 0)",659.3250963871449
"(1, 0, 3, 0)",660.8235168932632
"(2, 0, 1, 0)",665.9238178270032
"(1, 0, 1, 0)",683.8876768760545
"(3, 3, 0, 0)",689.5878997973624
"(2, 3, 0, 0)",691.1794171642695
"(0, 0, 0, 1)",695.6087980376522
"(0, 0, 1, 1)",695.6680967946336
"(0, 0, 3, 2)",695.8392472358904
"(0, 0, 0, 2)",696.0200463269382
"(0, 0, 3, 1)",696.0283519014272
"(2, 2, 0, 0)",696.1731510376994
"(0, 0, 0, 3)",696.3387080216161
"(1, 3, 0, 0)",696.9715080086044
"(3, 2, 0, 0)",697.0311934781228
"(0, 0, 2, 1)",697.083984993521
"(0, 0, 1, 2)",697.5686005914436
"(0, 0, 2, 2)",697.6552126930721
"(0, 0, 3, 3)",697.7725683594906
"(0, 0, 2, 3)",698.021488800691
"(1, 1, 0, 0)",698.4662425823285
"(1, 2, 0, 0)",699.0212229758346
"(0, 0, 1, 3)",699.0511837978945
"(0, 2, 0, 0)",699.2056562665739
"(2, 1, 0, 0)",700.208687275737
"(0, 3, 0, 0)",700.3621406956865
"(3, 1, 0, 0)",702.1703497536646
"(0, 0, 2, 0)",703.0627594967705
"(0, 0, 3, 0)",703.8253982916722
"(0, 1, 0, 0)",704.5296789936374
"(0, 0, 1, 0)",725.3954531856493
"(3, 0, 0, 0)",733.4046347145127
"(2, 0, 0, 0)",745.1914923876585
"(1, 0, 0, 0)",760.9998602727793
"(0, 0, 0, 0)",801.8208928554199
